barrio_key,barrio_nombre,tree_density,refugios_300m,refugios_400m,refugios_proximos,fuentes_400m,fuentes_proximas,no2_medio,pop_65plus,coverage_ratio_300m,coverage_ratio_400m,coverage_ratio,coverage_ratio_suavizado,vulnerability_index_raw,vulnerability_index,log_pop,log_pop_norm,priority_score,priority_score_norm
1705,Ángeles,4930.057192803785,0,0,0,8,8,26.877300674362903,8441,0.0,0.0,0.0,0.011846937566639,3.3336712845886822,0.5426370131505451,9.040974526342444,0.9170652334083845,0.4976335391209333,0.5521258071092203
704,Almagro,3904.298230281535,0,0,0,2,2,23.454788606411675,4976,0.0,0.0,0.0,0.020096463022508,3.5238932663859406,0.5736003203353978,8.512582578858554,0.8634681479129497,0.4952856062422806,0.5495207689963262
405,Lista,4054.096830051501,0,0,0,4,4,23.888372886167986,5165,0.0,0.0,0.0,0.0193610842207163,3.497603593712262,0.5693210293560201,8.549853973655786,0.8672487470363727,0.4937429493704664,0.5478091868711592
605,Valdeacederas,4116.352038459447,0,0,0,12,12,24.459658853040885,4227,0.0,0.0,0.0,0.0236574402649633,3.542340834103177,0.5766031158096399,8.349484346990128,0.8469243873215323,0.48833924058476574,0.5418137568204465
1507,Colina,3248.1723893061094,0,0,0,1,1,23.984506502930248,1535,0.0,0.0,0.0,0.0651465798045602,4.005568755108761,0.6520048558145547,7.336936913707618,0.7442173123779263,0.48523330145166527,0.5383677086426558
406,Castellana,4242.387269612279,0,0,0,3,3,23.521691260357763,4053,0.0,0.0,0.0,0.0246730816679003,3.330753795814544,0.5421621200794683,8.307459327011946,0.8426616073918918,0.45685920357316057,0.506886567480347
303,Estrella,4443.580869536022,0,0,0,5,5,22.64628030256993,7320,0.0,0.0,0.0,0.0136612021857923,3.090375651391012,0.5030346635363888,8.898502209646642,0.9026136487938965,0.45404595312438994,0.5037652582185724
1303,Palomeras Bajas,5332.772872969647,0,0,0,10,10,26.720978677086187,8188,0.0,0.0,0.0,0.0122129946262823,3.039330857284661,0.4947258675435733,9.010547069270189,0.9139788445527708,0.45216897678784224,0.5016827477097913
1508,Atalaya,3507.6742282377063,0,0,0,3,3,24.006748777308054,409,0.0,0.0,0.0,0.2444987775061124,3.850106937755819,0.6266996205271577,6.016157159698354,0.6102448971407842,0.38244024546676386,0.4243185247770671
2105,Corralejos,3708.925587563721,0,0,0,14,14,20.227802600982677,974,0.0,0.0,0.0,0.1026694045174538,3.1400404086634097,0.5111188245842186,6.882437470997847,0.6981154639214152,0.35681995534358024,0.3958927410414626
